model_id,model,family,released,params_b,active_params_b,attention,layers,kv_heads,head_dim,full_cache_layers,window_layers,window_tokens,kv_cache_gb_per_1k_tokens,fixed_state_gb,context_tokens,license,license_permissive,role,successor_id,hf_repo,hf_gated,config_url,page_url,attention_detail,notes
llama-3.2-3b,Llama 3.2 3B,Llama,2024-09,3.2,,standard,28,8,128,28,0,,0.115,,131072,Llama Community License,false,,,meta-llama/Llama-3.2-3B,true,https://huggingface.co/meta-llama/Llama-3.2-3B/blob/main/config.json,https://nodegrove.io/models/llama-3.2-3b,"28 layers, all full attention, with 8 KV heads of dimension 128",
qwen3.5-4b,Qwen3.5 4B,Qwen,2026-02,4.7,,hybrid,32,4,256,8,0,,0.033,0.05,262144,Apache 2.0,true,,,Qwen/Qwen3.5-4B,false,https://huggingface.co/Qwen/Qwen3.5-4B/blob/main/config.json,https://nodegrove.io/models/qwen3.5-4b,"32 layers, of which only 8 are full attention (4 KV heads of dimension 256) and keep a cache that grows with the conversation; the other 24 are Gated DeltaNet linear-attention layers with a small fixed state",The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
llama-3.1-8b,Llama 3.1 8B,Llama,2024-07,8,,standard,32,8,128,32,0,,0.131,,131072,Llama Community License,false,,,meta-llama/Llama-3.1-8B,true,https://huggingface.co/meta-llama/Llama-3.1-8B/blob/main/config.json,https://nodegrove.io/models/llama-3.1-8b,"32 layers, all full attention, with 8 KV heads of dimension 128",
qwen3-8b,Qwen3 8B,Qwen,2025-04,8.2,,standard,36,8,128,36,0,,0.147,,40960,Apache 2.0,true,,qwen3.5-9b,Qwen/Qwen3-8B,false,https://huggingface.co/Qwen/Qwen3-8B/blob/main/config.json,https://nodegrove.io/models/qwen3-8b,"36 layers, all full attention, with 8 KV heads of dimension 128",
qwen3.5-9b,Qwen3.5 9B,Qwen,2026-02,9.7,,hybrid,32,4,256,8,0,,0.033,0.05,262144,Apache 2.0,true,,,Qwen/Qwen3.5-9B,false,https://huggingface.co/Qwen/Qwen3.5-9B/blob/main/config.json,https://nodegrove.io/models/qwen3.5-9b,"32 layers, of which only 8 are full attention (4 KV heads of dimension 256) and keep a cache that grows with the conversation; the other 24 are Gated DeltaNet linear-attention layers with a small fixed state",The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
gemma-4-12b,Gemma 4 12B,Gemma,2026-05,12,,sliding-window,48,8,256,8,40,1024,0.016,,262144,Apache 2.0,true,,,google/gemma-4-12B-it,false,https://huggingface.co/google/gemma-4-12B-it/blob/main/config.json,https://nodegrove.io/models/gemma-4-12b,"48 layers: 40 use sliding-window attention and only remember the last 1,024 tokens (8 KV heads of dimension 256), and 8 are global layers with a single KV head of dimension 512",A runtime without a sliding-window cache stores every layer at full length and needs far more than this at long context.
gemma-3-12b,Gemma 3 12B,Gemma,2025-03,12.2,,sliding-window,48,8,256,8,40,1024,0.066,,131072,Gemma Terms of Use,false,,gemma-4-12b,google/gemma-3-12b-it,true,https://huggingface.co/google/gemma-3-12b-it/blob/main/config.json,https://nodegrove.io/models/gemma-3-12b,"48 layers with 8 KV heads of dimension 256; five in every six use sliding-window attention and only remember the last 1,024 tokens, so 8 global layers carry the long context",A runtime without a sliding-window cache stores every layer at full length and needs far more than this at long context.
ministral-3-14b,Ministral 3 14B,Mistral,2025-12,14,,standard,40,8,128,40,0,,0.164,,262144,Apache 2.0,true,,,mistralai/Ministral-3-14B-Instruct-2512,false,https://huggingface.co/mistralai/Ministral-3-14B-Instruct-2512/blob/main/config.json,https://nodegrove.io/models/ministral-3-14b,"40 layers, all full attention, with 8 KV heads of dimension 128",The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
qwen3-14b,Qwen3 14B,Qwen,2025-04,14.8,,standard,40,8,128,40,0,,0.164,,40960,Apache 2.0,true,,,Qwen/Qwen3-14B,false,https://huggingface.co/Qwen/Qwen3-14B/blob/main/config.json,https://nodegrove.io/models/qwen3-14b,"40 layers, all full attention, with 8 KV heads of dimension 128",
phi-4,Phi-4 14B,Phi,2024-12,14.7,,standard,40,10,128,40,0,,0.205,,16384,MIT,true,,,microsoft/phi-4,false,https://huggingface.co/microsoft/phi-4/blob/main/config.json,https://nodegrove.io/models/phi-4,"40 layers, all full attention, with 10 KV heads of dimension 128",
